,,url,location,location extra,text,title,languageCode,publisher.name,publisher.site,reviewDate,claimDate,claimant,claimant_canonical_name,claimant_party,textualRating,reason,ratingsimp,T/F RQ1,is_politician_strict,rand_num
,4736,https://www.politifact.com/factchecks/2016/jul/29/hillary-clinton/hillary-clinton-says-donald-trump-has-called-us-mi/,Speech/Remarks,Campaign,Says Donald Trump 'claimed our armed forces are 'a disaster.'',Hillary Clinton says Donald Trump has called the US military 'a disaster',en,PolitiFact,politifact.com,2016-07-29T05:08:57Z,2016-07-28T00:00:00Z,Hillary Clinton,Hillary Clinton,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,2021
,7621,https://www.politifact.com/factchecks/2016/aug/24/jennifer-granholm/clinton-surrogate-spins-clinton-foundation-defense/,TV Appearance,CNN,Says Hillary Clinton 'abided by the ethics agreement' between the Clinton Foundation and the Obama administration.,Clinton surrogate spins Clinton Foundation defense,en,PolitiFact,politifact.com,2016-08-24T17:40:13Z,2016-08-10T00:00:00Z,Jennifer Granholm,Jennifer Granholm,Democratic,Mostly False,,3 Mostly False,False(ish),TRUE,9
,6596,https://www.politifact.com/factchecks/2016/jul/18/jeff-sessions/mostly-false-jeff-sessions-says-clinton-champion-g/,Speech/Remarks,Campaign,Says Hillary Clinton 'has been a champion of globalist trade agreements. ... Worst of all; they are now pushing the disastrous 5;000-page Obamatrade — the Trans-Pacific Partnership agreement.',Mostly False: Jeff Sessions says Clinton is 'champion' of global trade deals; including TPP,en,PolitiFact,politifact.com,2016-07-19T02:35:51Z,2016-07-18T00:00:00Z,Jeff Sessions,Jeff Sessions,Republican,Mostly False,,3 Mostly False,False(ish),TRUE,53
,7290,https://www.politifact.com/factchecks/2016/jul/19/chris-christie/stamp-one-correct-chris-christie-says-clinton-wron/,Speech/Remarks,Campaign,Says Hillary Clinton 'said all work-related emails were sent back to the State Department. The FBI director said; that's not true.',Stamp this one 'correct;' Chris Christie says Clinton wrong about work-related emails,en,PolitiFact,politifact.com,2016-07-20T03:48:41Z,2016-07-19T00:00:00Z,Chris Christie,Chris Christie,Republican,TRUE,,6 True,True)ish,TRUE,831
,6402,http://www.politifact.com/factchecks/2018/may/17/tom-palzewicz/pants-fire-claim-40-year-wisconsin-congressman-has/,Social Media,Twitter,Says Jim Sensenbrenner 'has been in office for 40 years' and 'he's led on exactly one bill;' the Patriot Act.,40-year Wisconsin Congressman Jim Sensenbrenner has 'led' on only 1 bill? That's Pants on Fire,en,PolitiFact,politifact.com,2018-05-17T12:43:57Z,2018-05-14T00:00:00Z,Tom Palzewicz,Tom Palzewicz,Democratic,Pants on Fire,,1 Pants On Fire,False(ish),TRUE,179
,3990,https://www.politifact.com/factchecks/2016/jul/24/hillary-clinton/hillary-clinton-says-mike-pence-slashed-education-/,Speech/Remarks,Campaign,Says unlike Tim Kaine; who 'invested' in education; Indiana Gov. Mike Pence 'slashed education funding.',Hillary Clinton says Mike Pence 'slashed' education spending as Indiana governor,en,PolitiFact,politifact.com,2016-07-24T22:15:56Z,2016-07-23T00:00:00Z,Hillary Clinton,Hillary Clinton,Democratic,FALSE,,2 False,False(ish),TRUE,629
,7090,http://www.politifact.com/factchecks/2016/aug/01/hillary-clinton/hillary-clintons-wrong-claim-fbi-director-comey-ca/,TV Appearance,FOX,Says; regarding the presence of classified information in her email; FBI Director James 'Comey said my answers were truthful; and what I've said is consistent with what I have told the American people.',Hillary Clinton's wrong claim that FBI director Comey called her comments about email 'truthful',en,PolitiFact,politifact.com,2017-04-11T20:06:19Z,2016-07-31T00:00:00Z,Hillary Clinton,Hillary Clinton,Democratic,Pants on Fire,,1 Pants On Fire,False(ish),TRUE,1499
,3312,https://www.politifact.com/factchecks/2016/jul/26/bernie-sanders/dnc-bernie-sanders-repeats-claim-top-one-tenth-1-o/,Speech/Remarks,Campaign,The top one-tenth of 1 percent now owns almost as much wealth as the bottom 90 percent.',At DNC; Bernie Sanders repeats claim that top one-tenth of 1% owns as much wealth as bottom 90%,en,PolitiFact,politifact.com,2016-07-26T04:22:23Z,2016-07-25T00:00:00Z,Bernie Sanders,Bernie Sanders,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,989
,6410,https://www.politifact.com/factchecks/2016/jul/29/hillary-clinton/dnc-hillary-clinton-slams-donald-trump-making-prod/,Speech/Remarks,Campaign,Trump ties are made 'in China; not Colorado. Trump suits in Mexico; not Michigan. Trump furniture in Turkey; not Ohio. Trump picture frames in India; not Wisconsin.',At DNC; Hillary Clinton slams Donald Trump for making products overseas,en,PolitiFact,politifact.com,2016-07-29T04:24:11Z,2016-07-28T00:00:00Z,Hillary Clinton,Hillary Clinton,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,318
,7403,https://www.politifact.com/factchecks/2016/jul/27/bill-clinton/bill-clinton-says-more-people-moved-out-poverty-un/,Speech/Remarks,Unspecified,We moved 100 times as many people out of poverty as moved out when President (Ronald) Reagan was in office; with 40 percent more jobs.',Bill Clinton exaggerates how many people moved out of poverty under his administration,en,PolitiFact,politifact.com,2016-07-28T00:50:59Z,2016-07-26T00:00:00Z,Bill Clinton,Bill Clinton,Democratic,Half True,,4 Half True,True)ish,TRUE,1363
,3384,https://www.politifact.com/factchecks/2016/jul/29/hillary-clinton/hillary-clinton-says-us-put-lid-irans-nuclear-prog/,Speech/Remarks,Campaign,We put a lid on Iran's nuclear program without firing a single shot.',Hillary Clinton says US 'put a lid on Iran's nuclear program',en,PolitiFact,politifact.com,2016-07-29T04:50:24Z,2016-07-28T00:00:00Z,Hillary Clinton,Hillary Clinton,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,1623
,344,https://www.politifact.com/factchecks/2021/mar/23/jeanine-pirro/fox-news-jeanine-pirro-wrongly-claims-us-border-op/,TV Appearance,FOX,The southern U.S. border 'is now open to anyone from anywhere in the world who wishes to enter our country.',Fox News' Jeanine Pirro wrongly claims US border is 'open to anyone from anywhere',en,PolitiFact,politifact.com,,2021-03-20T00:00:00Z,Jeanine Pirro,Jeanine Pirro,Republican,FALSE,,2 False,False(ish),TRUE,1557
,430,https://www.politifact.com/factchecks/2021/mar/04/mike-pence/mike-pence-wrong-hr-1-forces-states-shift-universa/,Written Statement,,The voting bill known as H.R. 1 'would force states to adopt universal mail-in ballots.',Mike Pence is wrong that HR 1 forces states to shift to universal mail balloting,en,PolitiFact,politifact.com,,2021-03-03T00:00:00Z,Mike Pence,Mike Pence,Republican,FALSE,,2 False,False(ish),TRUE,1471
,434,https://www.politifact.com/factchecks/2021/mar/05/mike-pence/pence-falsely-says-if-hr-1-passes-millions-people-/,Written Statement,,The voting bill known as H.R. 1 would mean 'that millions of illegal immigrants are quickly registered to vote.',Pence falsely says if HR 1 passes; millions of people in US illegally will be registered to vote,en,PolitiFact,politifact.com,,2021-03-03T00:00:00Z,Mike Pence,Mike Pence,Republican,FALSE,,2 False,False(ish),TRUE,748
,3898,http://www.politifact.com/factchecks/2017/mar/31/scott-wagner/pa-gopers-climate-change-theory-debunked-nope-not-/,Interview,,...the earth moves closer to the sun every year – you know the rotation of the earth. We’re moving closer to the sun.',PA GOPer's climate change theory debunked: Nope; not getting closer to the sun,en,PolitiFact,politifact.com,2017-04-03T19:39:52Z,2017-03-28T00:00:00Z,Scott Wagner,Scott Wagner,Republican,FALSE,,2 False,False(ish),TRUE,1846
,958,http://www.politifact.com/factchecks/2017/mar/13/tammy-baldwin/would-trumpcare-gop-replacement-obamacare-allow-in/,Social Media,Twitter,‘TrumpCare’ would allow insurance execs to personally make millions off your health care.',Would 'Trumpcare;' the GOP replacement for Obamacare; allow insurance executives to 'make millions'?,en,PolitiFact,politifact.com,2017-03-13T16:57:12Z,2017-03-08T00:00:00Z,Tammy Baldwin,Tammy Baldwin,Democratic,Mostly False,,3 Mostly False,False(ish),TRUE,2107
,7719,https://www.politifact.com/factchecks/2020/feb/26/bernie-sanders/research-exaggerates-potential-savings/,Debate,Election Debate,(A recent study) said ‘Medicare for All’ will lower health care costs in this country by $450 billion a year and save the lives of 68;000 people who would otherwise have died.',Bernie Sanders embraces new study that lowers 'Medicare For All' price tag; but skepticism abounds,en,PolitiFact,politifact.com,2020-02-26T04:49:41Z,2020-02-26T00:00:00Z,Bernie Sanders,Bernie Sanders,Democratic,Mostly False,,3 Mostly False,False(ish),TRUE,1944
,6090,http://www.politifact.com/factchecks/2012/oct/04/chris-christie/chris-christie-claims-barack-obama-has-not-outline/,TV Appearance,NBC,(Barack Obama) says he’s going to reduce the long-term debt and deficit by $4 trillion; doesn’t say how he's going to do it.',Chris Christie claims Barack Obama has not outlined plan to reduce federal deficit by $4 trillion,en,PolitiFact,politifact.com,2016-07-15T15:27:45Z,2012-09-30T00:00:00Z,Chris Christie,Chris Christie,Republican,Pants on Fire,,1 Pants On Fire,False(ish),TRUE,268
,2133,http://www.politifact.com/factchecks/2016/mar/07/bernie-s/flint-residents-dont-pay-3-times-much-burlington-r/,Debate,Election Debate,(Flint; Mich.; is) paying three times more for poison water than I am paying in Burlington; Vt.; for clean water.',Bernie Sanders has a point: Water in Flint much more expensive than in Burlington,en,PolitiFact,politifact.com,2016-04-13T14:29:07Z,2016-03-06T00:00:00Z,Bernie Sanders,Bernie Sanders,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,2102
,947,http://www.politifact.com/factchecks/2017/dec/29/joe-berrios/joe-berrios-reaches-too-far-attack-fritz-kaegi/,Advertisement,,(Fritz) Kaegi managed a fund that invested nearly $30 million in private prisons.',Joe Berrios fails to lock down timeline in Kaegi prison charge,en,PolitiFact,politifact.com,2017-12-29T21:24:51Z,2017-12-11T00:00:00Z,Joe Berrios,Joseph Berrios,Democratic,Mostly False,,3 Mostly False,False(ish),TRUE,2488
,7504,http://www.politifact.com/factchecks/2013/sep/26/newt-gingrich/obamacare-has-never-been-favored-majority-american/,TV Appearance,CNN,(Obamacare) is a bill which has never once had a majority of Americans favor it.',Obamacare 'has never been favored by a majority of Americans;' Gingrich says,en,PolitiFact,politifact.com,2016-07-15T17:12:50Z,2013-09-24T00:00:00Z,Newt Gingrich,Newt Gingrich,Republican,Mostly True,,5 Mostly True,True)ish,TRUE,413
,1594,http://www.politifact.com/factchecks/2012/feb/27/chris-christie/chris-christie-claims-obama-said-unemployment-woul/,TV Appearance,CBS,(President Barack Obama) said unemployment was never gonna go over 8 percent if we passed the stimulus plan.',Chris Christie claims Obama said unemployment would never top 8 percent if the stimulus was passed,en,PolitiFact,politifact.com,2016-07-15T15:45:29Z,2012-02-26T00:00:00Z,Chris Christie,Chris Christie,Republican,Mostly False,,3 Mostly False,False(ish),TRUE,1331
,6622,https://www.politifact.com/factchecks/2020/sep/25/chris-larson/yes-republicans-could-end-evers-state-emergency-an/,Social Media,Twitter,(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.',Yes; Republicans could end Evers' state of emergency anytime,en,PolitiFact,politifact.com,,2020-09-23T00:00:00Z,Chris Larson,Chris Larson,Democratic,TRUE,,6 True,True)ish,TRUE,945
,6984,http://www.politifact.com/factchecks/2016/jun/17/joaquin-castro/joaquin-castro-trump-san-antonio-60-percent-mexica/,Social Media,Twitter,@realDonaldTrump is coming to San Antonio; which is 60% Mexican-AMERICAN.',Joaquin Castro to Trump: San Antonio is 60 percent Mexican-American - Mostly True,en,PolitiFact,politifact.com,2016-06-17T20:44:28Z,2016-06-06T00:00:00Z,Joaquin Castro,Joaquin Castro,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,1429
,7566,https://www.politifact.com/factchecks/2018/nov/12/marco-rubio/marco-rubio-says-broward-elections-office-has-hist/,Social Media,Twitter,#Broward elections department has a history of violating the law.',Marco Rubio says Broward elections office has history of breaking the law,en,PolitiFact,politifact.com,2018-11-12T20:27:52Z,2018-11-08T00:00:00Z,Marco Rubio,Marco Rubio,Republican,Mostly True,,5 Mostly True,True)ish,TRUE,2032
,4345,https://www.politifact.com/factchecks/2019/mar/01/ilhan-omar/cohen-and-abrams-double-standard-lying-congress/,Social Media,Twitter,#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads',Cohen and Abrams: A double standard on lying to Congress?,en,PolitiFact,politifact.com,2019-03-01T19:40:37Z,2019-02-27T00:00:00Z,Ilhan Omar,Ilhan Omar,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,519
,5266,http://www.politifact.com/factchecks/2018/jun/25/jb-pritzker/did-rauner-really-pour-1-billion-down-drain/,Advertisement,,$1 billion—that’s how much Bruce Rauner has wasted with his budget crisis.',Did Rauner really pour $1 billion 'down the drain'?,en,PolitiFact,politifact.com,2018-06-25T15:52:22Z,2018-06-07T00:00:00Z,J.B. Pritzker,J. B. Pritzker,Democratic,Mostly False,,3 Mostly False,False(ish),TRUE,2152
,2609,https://www.politifact.com/factchecks/2018/dec/03/alexandria-ocasio-cortez/alexandria-ocasio-cortez-wrong-scale-pentagon-acco/,Social Media,Twitter,$21T in Pentagon accounting errors. Medicare for All costs ~$32T. That means 66% of Medicare for All could have been funded already by the Pentagon.',Alexandria Ocasio-Cortez wrong on scale of Pentagon accounting errors,en,PolitiFact,politifact.com,2018-12-03T22:52:44Z,2018-12-02T00:00:00Z,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez,Democratic,FALSE,,2 False,False(ish),TRUE,1403
,7262,https://www.politifact.com/factchecks/2020/may/14/rand-paul/no-us-isnt-expected-borrow-heavily-china-pay-covid/,TV Appearance,FOX,$3 trillion for federal coronavirus stimulus packages is 'being borrowed basically from China.',No; US isn't expected to borrow heavily from China to pay for COVID-19 stimulus,en,PolitiFact,politifact.com,,2020-05-06T00:00:00Z,Rand Paul,Rand Paul,Republican,FALSE,,2 False,False(ish),TRUE,2493
,3824,https://www.politifact.com/factchecks/2020/sep/10/joe-biden/fact-checking-joe-bidens-claim-about-his-own-incom/,Speech/Remarks,Campaign,$400;000 ... is more money than I’ve ever made' in a year.,Fact-checking Joe Biden's claim about his own income,en,PolitiFact,politifact.com,,2020-09-09T00:00:00Z,Joe Biden,Joe Biden,Democratic,Mostly False,,3 Mostly False,False(ish),TRUE,574
,6903,https://www.politifact.com/factchecks/2019/nov/18/david-mckinley/what-value-drugs-come-us-border/,Interview,,$53 million a week is coming across the border in drugs.',What is the value of drugs that come to the US border?,en,PolitiFact,politifact.com,,2019-10-13T00:00:00Z,David McKinley,David McKinley,Republican,Mostly True,,5 Mostly True,True)ish,TRUE,1708
,6277,http://www.politifact.com/factchecks/2018/mar/30/michael-mccaul/michael-mccaul-says-1-100-people-sociopath/,TV Appearance,Regional Station,1 in 100 people are sociopaths.',Michael McCaul says 1 in 100 people is a sociopath,en,PolitiFact,politifact.com,2018-03-30T20:07:18Z,2018-03-26T00:00:00Z,Michael McCaul,Michael McCaul,Republican,Mostly True,,5 Mostly True,True)ish,TRUE,94
,961,https://www.politifact.com/factchecks/2019/aug/28/tony-evers/evers-wrong-texting-and-driving-stat/,Social Media,Twitter,1 out of every 4 car accidents in the U.S. is caused by texting and driving.',Evers wrong on texting and driving stat,en,PolitiFact,politifact.com,,2019-08-20T00:00:00Z,Tony Evers,Tony Evers,Democratic,FALSE,,2 False,False(ish),TRUE,1078
,6243,http://www.politifact.com/factchecks/2016/oct/04/mike-pence/pence-repeats-false-claim-clinton-foundations-limi/,Debate,Election Debate,10 cents in every dollar from the Clinton Foundation goes to charitable causes.',Pence repeats false claim on Clinton Foundation's limited charitable work,en,PolitiFact,politifact.com,2016-10-05T04:53:16Z,2016-10-04T00:00:00Z,Mike Pence,Mike Pence,Republican,FALSE,,2 False,False(ish),TRUE,1730
,3238,https://www.politifact.com/factchecks/2019/dec/20/jim-sensenbrenner/wisconsin-us-rep-jim-sensenbrenner-misfires-claim-/,Social Media,Twitter,104 House Democrats voted for impeachment before the Ukraine call took place.',Did 104 Democrats vote for impeachment before the Ukraine letter? No. Sensenbrenner off the mark.,en,PolitiFact,politifact.com,,2019-12-11T00:00:00Z,Jim Sensenbrenner,Jim Sensenbrenner,Republican,Mostly False,,3 Mostly False,False(ish),TRUE,386
,347,https://www.politifact.com/factchecks/2021/mar/24/viral-image/ar-15-style-weapons-were-used-10-major-shootings/,Social Media,Twitter,11 past mass shootings involved an AR-15-style weapon.,AR-15 style weapons were used in 10 major shootings,en,PolitiFact,politifact.com,,2021-03-22T00:00:00Z,Adam Best,Adam Best,Republican,Mostly True,,5 Mostly True,True)ish,TRUE,1033
,790,https://www.politifact.com/factchecks/2018/nov/15/eric-swalwell/how-many-troops-has-donald-trump-sent-us-border/,Social Media,Twitter,15;000 troops will not see their families for #Thanksgiving because of @realDonaldTrump’s Scaravan Stunt. Oh yeah; it’s also costing you 200 million dollars.',How many troops has Donald Trump sent to the US border so far?,en,PolitiFact,politifact.com,2018-11-15T16:07:19Z,2018-11-12T00:00:00Z,Eric Swalwell,Eric Swalwell,Democratic,Half True,,4 Half True,True)ish,TRUE,718
,528,https://www.politifact.com/factchecks/2019/nov/21/joe-biden/do-160-million-americans-like-their-health-insur/,Debate,Election Debate,160 million people like their private insurance.',Do 160 million Americans really like their health plans? Kind of,en,PolitiFact,politifact.com,,2019-11-21T00:00:00Z,Joe Biden,Joe Biden,Democratic,Half True,,4 Half True,True)ish,TRUE,975
,946,https://www.politifact.com/factchecks/2019/may/10/joe-manchin/are-19-west-virginians-food-stamps/,Social Media,Twitter,19% of WVians rely on SNAP;' or food stamps.,Are 19% of West Virginians on food stamps?,en,PolitiFact,politifact.com,2019-05-11T03:40:51Z,2019-03-29T00:00:00Z,Joe Manchin,Joe Manchin,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,247
,6209,https://www.politifact.com/factchecks/2019/apr/08/paul-bettencourt/texas-legislation-missing-important-info-about-cri/,Written Statement,,194;000 criminal aliens booked into Texas jails from 2011-2019 were charged with more than 299;000 criminal offenses.',Texas legislation needs context for claim about crime; immigration status,en,PolitiFact,politifact.com,2019-04-08T20:17:31Z,2019-04-02T00:00:00Z,Paul Bettencourt,Paul Bettencourt,Republican,Mostly True,,5 Mostly True,True)ish,TRUE,443
,7062,https://www.politifact.com/factchecks/2018/oct/08/tammy-baldwin/does-leah-vukmir-support-letting-insurers-deny-cov/,Advertisement,,2.4 million people in Wisconsin have pre-existing conditions' and Leah Vukmir supports letting insurance companies 'deny coverage to people with pre-existing conditions.',Does Leah Vukmir support letting insurers deny coverage to people with pre-existing conditions?,en,PolitiFact,politifact.com,2018-10-08T21:23:12Z,2018-09-20T00:00:00Z,Tammy Baldwin,Tammy Baldwin,Democratic,Half True,,4 Half True,True)ish,TRUE,169
,3502,http://www.politifact.com/factchecks/2017/mar/16/luis-gutierrez/rep-gutierrez-says-hundreds-republican-amendments-/,TV Appearance,CNN,2009-2010; let's remember; hundreds of Republican amendments were adopted in the ACA.',Gutierrez says 'hundreds of Republican amendments' were a part of Obamacare,en,PolitiFact,politifact.com,2017-03-16T16:08:34Z,2017-03-12T00:00:00Z,Luis Gutierrez,Luis Gutiérrez,Democratic,Half True,,4 Half True,True)ish,TRUE,2302
,1042,https://www.politifact.com/factchecks/2020/sep/23/joe-biden/fact-checking-bidens-claim-about-number-students-w/,Speech/Remarks,Unspecified,24 of every 100 kids in school today speak Spanish.',Fact-checking Biden's claim about number of students who speak Spanish,en,PolitiFact,politifact.com,,2020-09-15T00:00:00Z,Joe Biden,Joe Biden,Democratic,Half True,,4 Half True,True)ish,TRUE,1443
,2268,http://www.politifact.com/factchecks/2017/jun/28/sean-spicer/sean-spicer-tweets-misleading-obamacare-statistic/,Social Media,Twitter,28.2 million Americans are still waiting under Obamacare and remain uninsured!,Sean Spicer tweets misleading Obamacare statistic,en,PolitiFact,politifact.com,2017-06-28T22:10:21Z,2017-06-28T00:00:00Z,Sean Spicer,Sean Spicer,Republican,Half True,,4 Half True,True)ish,FALSE,1367
,7288,http://www.politifact.com/factchecks/2018/feb/19/jackie-speier/fact-checking-sad-statistic-number-women-murdered-/,Social Media,Twitter,3 American women are murdered every day by their husband or boyfriend.',Fact-checking sad statistic on women murdered by intimate partners in US,en,PolitiFact,politifact.com,2018-02-19T21:29:36Z,2018-02-10T00:00:00Z,Jackie Speier,Jackie Speier,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,1084
,4707,https://www.politifact.com/factchecks/2020/aug/07/bryan-steil/gop-lawmaker-only-tells-part-story-claim-wisconsin/,Social Media,Twitter,3.8% of Wisconsin’s coronavirus funding has been spent.',GOP lawmaker only tells part of story in claim that Wisconsin spent 3.8% of federal coronavirus aid,en,PolitiFact,politifact.com,,2020-07-30T00:00:00Z,Bryan Steil,Bryan Steil,Republican,Half True,,4 Half True,True)ish,TRUE,712
,5139,https://www.politifact.com/article/2020/feb/05/fact-checking-bernie-sanders-milford-nh/,Speech/Remarks,Campaign,30;000 Americans die each year because they can’t get to a doctor when they should.',Fact-checking Bernie Sanders in Milford; New Hampshire before the primary,en,PolitiFact,politifact.com,2020-02-05T21:20:32Z,2020-02-04T00:00:00Z,Bernie Sanders,Bernie Sanders,Democratic,Half True,,4 Half True,True)ish,TRUE,1502
,2623,http://www.politifact.com/factchecks/2015/oct/08/debbie-wasserman-schultz/how-many-americans-have-been-killed-mass-shootings/,Social Media,Twitter,380 Americans have been killed in 294 mass shootings in 2015 alone.',Wasserman Schultz claims 294 mass shootings in 2015 alone,en,PolitiFact,politifact.com,2016-05-11T18:43:01Z,2015-10-02T00:00:00Z,Debbie Wasserman Schultz,Debbie Wasserman Schultz,Democratic,Half True,,4 Half True,True)ish,TRUE,1176
,5508,https://www.politifact.com/factchecks/2021/jan/06/ted-cruz/ted-cruzs-misleading-statement-people-who-believe-/,Speech/Remarks,Unspecified,39% of Americans … 31% of independents ... 17% of Democrats believe the election was rigged.',Ted Cruz's misleading statement on people who believe the election was 'rigged',en,PolitiFact,politifact.com,,2021-01-07T00:00:00Z,Ted Cruz,Ted Cruz,Republican,Mostly False,,3 Mostly False,False(ish),TRUE,1528
,1227,http://www.politifact.com/factchecks/2017/may/03/ivanka-trump/ivanka-trump-new-book-says-women-are-primary-earne/,Written Statement,,40 percent of American households have female primary breadwinners.',Ivanka Trump; in new book; says women are primary earners in 40% of households,en,PolitiFact,politifact.com,2017-05-03T21:34:48Z,2017-05-02T00:00:00Z,Ivanka Trump,Ivanka Trump,Republican,Mostly True,,5 Mostly True,True)ish,FALSE,627
,5476,http://www.politifact.com/factchecks/2016/jul/07/debbie-wasserman-schultz/debbie-wasserman-schultz-right-about-far-reaching-/,Written Statement,,40% of Americans know someone who has been killed by a gun.',Debbie Wasserman Schultz right about far-reaching effects of gun violence,en,PolitiFact,politifact.com,2016-07-07T20:10:16Z,2016-07-18T00:00:00Z,Debbie Wasserman Schultz,Debbie Wasserman Schultz,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,702
