,url,title,textualRating,languageCode,publisher.name,publisher.site,reviewDate,text,claimant,claimDate,claimant_party,reason
14801,http://www.cbsnews.com/news/disregarding-science-trump-says-u-s-is-cleanest-country-on-earth/,Defying science; Trump says U.S. is 'cleanest' country on Earth,U.S. is well behind other countries,en,CBS News,cbsnews.com,2017-06-05T00:00:00Z,Defying science; Trump says U.S. is 'cleanest' country on Earth,Donald Trump,2017-06-01T00:00:00Z,Republican,
14962,http://www.cbsnews.com/news/trump-claims-hes-passed-more-bills-than-any-president-ever/,Trump claims he's passed more bills 'than any president; ever',Less than past 6 presidents,en,CBS News,cbsnews.com,2017-07-18T21:14:36Z,We've signed more bills -- than any president; ever,Donald Trump,2017-07-18T21:14:36Z,Republican,
14884,http://www.cbsnews.com/news/boy-scouts-disputes-trumps-greatest-ever-claim-about-his-speech/,Boy Scouts dispute Trump's 'greatest ever' claim about his speech,The call didn't happen,en,CBS News,cbsnews.com,2017-08-02T00:00:00Z,I got a call from the head of the Boy Scouts saying it was the greatest speech that was ever made to them,Donald Trump,2017-07-25T00:00:00Z,Republican,
14843,http://www.cbsnews.com/news/mexican-president-nieto-denies-ever-calling-trump-to-praise-border-work/,Mexican president denies calling Trump to praise border work,Mexico: Nieto has not.,en,CBS News,cbsnews.com,2017-08-02T00:00:00Z,the president of Mexico called me,Donald Trump,2017-07-31T00:00:00Z,Republican,
14893,http://www.cbsnews.com/news/whats-immigrations-real-impact-on-us-wages/,What's immigration's real impact on U.S. wages?,Studies show little or no effect.,en,CBS News,cbsnews.com,2017-08-02T00:00:00Z,Curtailing immigration will boost workers' wages.,Donald Trump,2017-08-02T00:00:00Z,Republican,
14770,http://www.cbsnews.com/news/ap-fact-check-trump-immigration-pitch-on-shaky-ground/#fact-check-3,AP FACT CHECK: Trump immigration pitch on shaky ground,He misrepresented who many immigrants are,en,CBS News,cbsnews.com,2017-08-03T00:00:00Z,For decades; the United States ... has operated a very low-skilled immigration system; issuing record numbers of green cards to low-wage immigrants.,Donald Trump,2017-08-02T00:00:00Z,Republican,
14860,http://www.cbsnews.com/news/fact-checking-trumps-claims-during-a-call-with-mexicos-president/#fact-check-2,Fact-checking Trump's claims during a call with Mexico's president,Somewhat true; somewhat false,en,CBS News,cbsnews.com,2017-08-03T00:00:00Z,We lost a lot of factories in Ohio and Michigan and I won these states – some of these states have not been won in 38 years by a Republican and I won them very easily.,Donald Trump,2017-08-02T00:00:00Z,Republican,
14883,http://www.cbsnews.com/news/fact-checking-trumps-claims-during-a-call-with-mexicos-president/#fact-check-4,Fact-checking Trump's claims during a call with Mexico's president,Somewhat true; somewhat false,en,CBS News,cbsnews.com,2017-08-03T00:00:00Z,I won New Hampshire because New Hampshire is a drug-infested den.,Donald Trump,2017-08-02T00:00:00Z,Republican,
14887,http://www.cbsnews.com/news/fact-checking-trumps-claims-during-a-call-with-mexicos-president/#fact-check-1,Fact-checking Trump's claims during a call with Mexico's president,FALSE,en,CBS News,cbsnews.com,2017-08-03T00:00:00Z,I won with a large percentage of Hispanic voters. I do not know if you heard; but with Cuba; I had 84 percent,Donald Trump,2017-08-02T00:00:00Z,Republican,
14926,http://www.cbsnews.com/news/ap-fact-check-trump-immigration-pitch-on-shaky-ground/#fact-check-1,AP FACT CHECK: Trump immigration pitch on shaky ground,Economic research suggests otherwise,en,CBS News,cbsnews.com,2017-08-03T00:00:00Z,The current; outdated system depresses wages for our poorest workers and puts great pressure on our taxpayers.,Donald Trump,2017-08-02T00:00:00Z,Republican,
14930,http://www.cbsnews.com/news/ap-fact-check-trump-immigration-pitch-on-shaky-ground/#fact-check-2,AP FACT CHECK: Trump immigration pitch on shaky ground,Over 50 percent is a stretch,en,CBS News,cbsnews.com,2017-08-03T00:00:00Z,Over 50 percent of our households of legal immigrants today participate in our social welfare system.,David Perdue,2017-08-02T00:00:00Z,Republican,
14958,http://www.cbsnews.com/news/fact-checking-trumps-claims-during-a-call-with-mexicos-president/#fact-check-3,Fact-checking Trump's claims during a call with Mexico's president,Mostly false,en,CBS News,cbsnews.com,2017-08-03T00:00:00Z,no one got people in their rallies as big as I did.,Donald Trump,2017-08-02T00:00:00Z,Republican,
14748,http://www.cbsnews.com/news/trump-takes-credit-for-nuclear-arsenal-that-was-largely-modernized-by-obama-administration/,Trump takes credit for nuclear arsenal that was largely modernized during Obama administration,FALSE,en,CBS News,cbsnews.com,2017-08-09T00:00:00Z,My first order as President was to renovate and modernize our nuclear arsenal,Donald Trump,2017-08-09T00:00:00Z,Republican,
14797,https://www.cbsnews.com/news/fact-checking-trumps-claims-at-his-tax-reform-event/,Fact-checking Donald Trump's tax reform speech,Misleading,en,CBS News,cbsnews.com,2017-08-30T00:00:00Z,the economy never hit 3 percent growth under President Obama,Donald Trump,2017-08-30T00:00:00Z,Republican,
14761,https://www.cbsnews.com/news/trump-knocks-emmys-ratings-as-worst-ever/,Trump knocks Emmys ratings as 'worst ever',2016 was lowest audience,en,CBS News,cbsnews.com,2017-09-20T00:00:00Z,Emmy ratings were 'the worst ever',Donald Trump,2017-09-18T02:41:00Z,Republican,
14772,https://www.cbsnews.com/news/trump-tax-reform-plan-graham-cassidy-votes-fact-check/#right-thing,Trump tax reform plan; Graham-Cassidy votes fact check,Unknown: Taxes undisclosed,en,CBS News,cbsnews.com,2017-09-27T00:00:00Z,I'm doing the right thing; and it's not good for me. Believe me.',Donald Trump,2017-09-27T00:00:00Z,Republican,
14784,https://www.cbsnews.com/news/trump-tax-reform-plan-graham-cassidy-votes-fact-check/#tax-reform-framework,Trump tax reform plan; Graham-Cassidy votes fact check,Misleading,en,CBS News,cbsnews.com,2017-09-27T00:00:00Z,Tax reform will protect low-income and middle-income households; not wealthy and connected,Donald Trump,2017-09-27T00:00:00Z,Republican,
14852,https://www.cbsnews.com/news/trump-tax-reform-plan-graham-cassidy-votes-fact-check/#graham-cassidy,Trump tax reform plan; Graham-Cassidy votes fact check,Flat-out wrong.,en,CBS News,cbsnews.com,2017-09-27T00:00:00Z,We have the votes on Graham-Cassidy.,Donald Trump,2017-09-27T00:00:00Z,Republican,
14951,https://www.cbsnews.com/news/trump-tweets-on-nfl-espn-ahead-of-penguins-visit/,Trump tweets on NFL; ESPN ahead of Penguins visit,False: Reversed in 2015,en,CBS News,cbsnews.com,2017-10-10T00:00:00Z,The NFL is getting massive tax breaks,Donald Trump,2017-10-10T02:13:00Z,Republican,
14916,https://www.cbsnews.com/news/is-trump-right-that-rising-stock-market-can-reduce-national-debt/,Is Trump right that rising stock market can reduce national debt?,No.,en,CBS News,cbsnews.com,2017-10-12T00:00:00Z,The rise in the stock market 'in a sense' reduces debt,Donald Trump,2017-10-11T00:00:00Z,Republican,
14742,https://www.cbsnews.com/news/trump-asia-trip-ireland-corporate-tax-fact-check/#ireland-tax,Fact-checking Trump's claims on corporate tax rates; Asia trip,Itinerary was already released,en,CBS News,cbsnews.com,2017-10-16T00:00:00Z,Trump 'may' visit the Philippines during an overseas visit to various Asian countries,Donald Trump,2017-10-16T00:00:00Z,Republican,
14745,https://www.cbsnews.com/news/trump-obama-didnt-call-fallen-soldiers-rose-garden/,Trump suggests Obama didn't call families of fallen soldiers as president,Absolutely false,en,CBS News,cbsnews.com,2017-10-16T00:00:00Z,Obama and other presidents didn't make calls to soldiers killed in action,Donald Trump,2017-10-16T00:00:00Z,Republican,
14749,https://www.cbsnews.com/news/trump-asia-trip-ireland-corporate-tax-fact-check/#ireland-tax,Fact-checking Trump's claims on corporate tax rates; Asia trip,FALSE,en,CBS News,cbsnews.com,2017-10-16T00:00:00Z,Ireland is going to be reducing their corporate rates down to 8 percent from 12,Donald Trump,2017-10-16T00:00:00Z,Republican,
14814,https://www.cbsnews.com/news/roy-moore-claims-its-against-the-law-for-players-to-kneel-during-national-anthem/,Roy Moore claims 'it's against the law' for players to kneel during national anthem,Interpretation unclear,en,CBS News,cbsnews.com,2017-10-18T00:00:00Z,It was a act of Congress that every man stand and put their hand over their heart. That’s the law.,Roy Moore,2017-10-18T00:00:00Z,Republican,
14913,https://www.cbsnews.com/news/frederica-wilson-fbi-building-john-kelly-trump/#trump,Fact-checking the John Kelly-Frederica Wilson controversy,White House has not denied,en,CBS News,cbsnews.com,2017-10-20T00:00:00Z,Wilson fabricated phone call remarks,Donald Trump,2017-10-18T00:00:00Z,Republican,
14849,https://www.cbsnews.com/news/frederica-wilson-fbi-building-john-kelly-trump/#kelly,Fact-checking the John Kelly-Frederica Wilson controversy,Indeterminable from facts,en,CBS News,cbsnews.com,2017-10-20T00:00:00Z,Wilson claimed she secured funding for FBI building,John Kelly,2017-10-19T00:00:00Z,unknown_affiliation,wp
14841,https://www.cbsnews.com/news/fact-checking-trumps-claim-boeing-will-create-70000-jobs/,Boeing Singapore deal: Will it create 70;000 jobs? Fact-checking Trump's statement,Depends on how you interpret,en,CBS News,cbsnews.com,2017-10-25T00:00:00Z,Most importantly it's about 70;000 jobs,Donald Trump,2017-10-23T00:00:00Z,Republican,
14786,https://www.cbsnews.com/news/paul-manafort-indictment-happen-before-trump-campaign-fact-check/,Is Trump correct Manafort's alleged criminal activities happened before he joined the campaign?,False; according to indictment,en,CBS News,cbsnews.com,2017-10-30T00:00:00Z,Sorry; but this is years ago; before Paul Manafort was part of the Trump campaign,Donald Trump,2017-10-30T00:00:00Z,Republican,
14811,https://www.cbsnews.com/news/trump-calls-out-apec-nations-for-unfair-trade-despite-cheating-accusations-against-u-s/,Trump rips APEC nations for unfair trade despite cheating accusations against U.S.,U.S. filed 124 complaints,en,CBS News,cbsnews.com,2017-11-10T00:00:00Z,Previous administrations allowed other countries to abuse trade rules and did nothing about it,Donald Trump,2017-11-10T00:00:00Z,Republican,
14831,https://www.cbsnews.com/news/fact-check-bank-sector-hardly-in-ruins-despite-trump-cfpb-claim/,Fact check: Bank sector hardly in ruins; despite Trump CFPB claim,The sector is far from devastated,en,CBS News,cbsnews.com,2017-11-29T00:00:00Z,The Consumer Financial Protection Bureau has been a total disaster as run by the previous Administration's pick,Donald Trump,2017-11-25T00:00:00Z,Republican,
14836,https://www.cbsnews.com/news/gop-tax-overhaul-fact-checking-lopsided-political-arguments/#trump-obamacare,Tax cut bill: Fact-checking Trump and members of Congress on the new GOP tax reform plan,No. Only ends some fines.,en,CBS News,cbsnews.com,2017-12-20T00:00:00Z,Obamacare has been repealed in the tax bill,Donald Trump,2017-12-20T00:00:00Z,Republican,
14918,https://www.cbsnews.com/news/gop-tax-overhaul-fact-checking-lopsided-political-arguments/#trump-spirit,Tax cut bill: Fact-checking Trump and members of Congress on the new GOP tax reform plan,Polling doesn't find that spirit.,en,CBS News,cbsnews.com,2017-12-21T00:00:00Z,So there's a great spirit for it; people want to see it.,Donald Trump,2017-10-22T00:00:00Z,Republican,
14741,https://www.cbsnews.com/news/gop-tax-overhaul-fact-checking-lopsided-political-arguments/#schumer,Tax cut bill: Fact-checking Trump and members of Congress on the new GOP tax reform plan,Misleading. Almost all would initially pay less,en,CBS News,cbsnews.com,2017-12-21T00:00:00Z,Their bill increases taxes on lots of middle-class people,Chuck Schumer,2017-12-20T00:00:00Z,Democratic,
14809,https://www.cbsnews.com/news/gop-tax-overhaul-fact-checking-lopsided-political-arguments/#pelosi,Tax cut bill: Fact-checking Trump and members of Congress on the new GOP tax reform plan,Not until after 2027,en,CBS News,cbsnews.com,2017-12-21T00:00:00Z,86 million middle class families get a tax hike,Nancy Pelosi,2017-12-20T00:00:00Z,Democratic,
14829,https://www.cbsnews.com/news/gop-tax-overhaul-fact-checking-lopsided-political-arguments/#trump-cuts,Tax cut bill: Fact-checking Trump and members of Congress on the new GOP tax reform plan,It isn't.,en,CBS News,cbsnews.com,2017-12-21T00:00:00Z,It's the largest tax cut in the history of our country,Donald Trump,2017-12-20T00:00:00Z,Republican,
14840,https://www.cbsnews.com/news/gop-tax-overhaul-fact-checking-lopsided-political-arguments/#trump-gdp,Tax cut bill: Fact-checking Trump and members of Congress on the new GOP tax reform plan,There are no signs of this currently,en,CBS News,cbsnews.com,2017-12-21T00:00:00Z,We're at 3.3 percent GDP. I see no reason why we don't go to 4 percent; 5 percent and even 6 percent,Donald Trump,2017-12-20T00:00:00Z,Republican,
14947,https://www.cbsnews.com/news/gop-tax-overhaul-fact-checking-lopsided-political-arguments/#ryan-postcard,Tax cut bill: Fact-checking Trump and members of Congress on the new GOP tax reform plan,There are no signs of this currently,en,CBS News,cbsnews.com,2017-12-21T00:00:00Z,We are making things so simple that you can do your taxes on a form the size of a postcard,Paul Ryan,2017-12-20T00:00:00Z,Republican,
14781,https://www.cbsnews.com/news/moving-us-embassy-to-jerusalem-nikki-haley-fact-check/,Fact check: Nikki Haley says Americans favor moving U.S. embassy to Jerusalem,63% of Americans oppose,en,CBS News,cbsnews.com,2018-01-02T00:00:00Z,The people of the United States...wanted to see the embassy moved to Jerusalem; and we followed through with that,Nikki Haley,2018-01-02T00:00:00Z,Republican,
14800,https://www.cbsnews.com/news/commercial-aviation-claim-donald-trump-safest-year-zero-deaths/,Trump claims credit for aviation death trend,Zero U.S. deaths since 2013,en,CBS News,cbsnews.com,2018-01-02T00:00:00Z,There were Zero deaths in 2017; the best and safest year on record,Donald Trump,2018-01-02T00:00:00Z,Republican,
14752,https://www.cbsnews.com/news/trump-says-visa-lottery-rewards-the-worst-immigrants-thats-inaccurate/,Trump says visa lottery rewards the 'worst' immigrants. That's inaccurate,Completely false.,en,CBS News,cbsnews.com,2018-01-10T00:00:00Z,Trump says visa lottery rewards the 'worst' immigrants,Donald Trump,2018-01-10T00:00:00Z,Republican,
3608,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#apple,Fact-checking Trump's first State of the Union address,TRUE,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,Apple has just announced it plans to invest a total of $350 billion in America; and hire another 20;000 workers.',Donald Trump,2018-01-30T00:00:00Z,Republican,
13784,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#moreregulations,Fact-checking Trump's first State of the Union address,Partly true; incomplete metric,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,We have eliminated more regulations in our first year than any administration in history.',Donald Trump,2018-01-30T00:00:00Z,Republican,
14740,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#tax-cuts-bonuses,Fact-checking Trump's first State of the Union address,True; but...,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,Since we passed tax cuts; roughly 3 million workers have already gotten tax cut bonuses – many of them thousands of dollars per worker.,Donald Trump,2018-01-30T00:00:00Z,Republican,
14771,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#judges,Fact-checking Trump's first State of the Union address,TRUE,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,We are appointing ... more circuit court judges than any new administration in the history of our country.,Donald Trump,2018-01-30T00:00:00Z,Republican,
14773,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#veterans,Fact-checking Trump's first State of the Union address,TRUE,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,My Administration has already removed more than 1;500 VA employees who failed to give our veterans the care they deserve.,Donald Trump,2018-01-30T00:00:00Z,Republican,
14815,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#stock-market-gain,Fact-checking Trump's first State of the Union address,Close; but not quite.,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,The stock market has gained $8 trillion in value since election,Donald Trump,2018-01-30T00:00:00Z,Republican,
14856,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#iran,Fact-checking Trump's first State of the Union address,Mostly true,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,When the people of Iran rose up against the crimes of their corrupt dictatorship; I did not stay silent,Donald Trump,2018-01-30T00:00:00Z,Republican,
14865,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#largesttaxcuts,Fact-checking Trump's first State of the Union address,False. 8th largest in history,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,We enacted the biggest tax cuts and reform in American history.,Donald Trump,2018-01-30T00:00:00Z,Republican,
14869,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#exxon-mobile,Fact-checking Trump's first State of the Union address,True; but less then prior years,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,ExxonMobil announced a $50 billion investment in the US,Donald Trump,2018-01-30T00:00:00Z,Republican,
14877,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#opioid-addiction,Fact-checking Trump's first State of the Union address,Opioid deaths still rising,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,These reforms will also support our response to the terrible crisis of opioid and drug addiction.,Donald Trump,2018-01-30T00:00:00Z,Republican,
14892,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#family-taxes,Fact-checking Trump's first State of the Union address,True: for now,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,A typical family of four making $75;000 will see their tax bill reduced by $2;000 -- slashing their tax bill in half,Donald Trump,2018-01-30T00:00:00Z,Republican,
14897,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#individual-mandate,Fact-checking Trump's first State of the Union address,False. Still in for 2018.,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,The individual mandate is now gone.,Donald Trump,2018-01-30T00:00:00Z,Republican,
14923,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#restoring-strength,Fact-checking Trump's first State of the Union address,Debatable for a few reasons,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,As we rebuild America's strength and confidence at home; we are also restoring our strength and standing abroad,Donald Trump,2018-01-30T00:00:00Z,Republican,
14928,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#energy-war,Fact-checking Trump's first State of the Union address,Partly true; partly false,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,We have ended the war on American Energy – and ... on clean coal. We are now an exporter of energy to the world.,Donald Trump,2018-01-30T00:00:00Z,Republican,
14934,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#drugs,Fact-checking Trump's first State of the Union address,True: for the past few years,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,Last year the FDA approved more new and generic drugs and medical devices than ever before in our history,Donald Trump,2018-01-30T00:00:00Z,Republican,
14941,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#guantanamo,Fact-checking Trump's first State of the Union address,True.,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,We have foolishly released hundreds of dangerous terrorists; only to meet them again on the battlefield.,Donald Trump,2018-01-30T00:00:00Z,Republican,
14959,https://www.cbsnews.com/news/fact-check-trump-state-of-the-union-2018-01-30-live-updates/#drugs,Fact-checking Trump's first State of the Union address,True: for the past few years,en,CBS News,cbsnews.com,2018-01-30T00:00:00Z,To speed access to breakthrough cures and affordable generic drugs; last year the FDA approved more new and generic drugs and medical devices than ever before in our history,Donald Trump,2018-01-30T00:00:00Z,Republican,
14937,https://www.cbsnews.com/news/fact-check-is-trump-right-that-sweden-is-the-8th-largest-investor-in-the-u-s/,Fact check: Is Trump right that Sweden is the 8th largest investor in the U.S.?,False. 15th largest investor,en,CBS News,cbsnews.com,2018-03-06T00:00:00Z,Sweden is the 8th biggest investor in the United States,Donald Trump,2018-03-06T00:00:00Z,Republican,
14890,https://www.cbsnews.com/news/canada-trade-deficit-trump-trudeau-fact-check-trump-tweet-today/,Canada Trade Deficit? Trump's tweet today calls out Trudeau; US data says otherwise,U.S. had a surplus in 2017,en,CBS News,cbsnews.com,2018-03-15T00:00:00Z,The U.S. has a trade deficit with Canada,Donald Trump,2018-03-15T00:00:00Z,Republican,
14851,https://www.cbsnews.com/news/census-citizenship-question-fact-check-white-house-citizen-question-removed/#well-tested,Fact check: Trump's White House stretches truth on Census changes; AP finds,Debatable impact is well-tested,en,CBS News,cbsnews.com,2018-03-29T00:00:00Z,The citizenship question has been 'well-tested',Wilbur Ross,2018-03-26T00:00:00Z,Republican,
14803,https://www.cbsnews.com/news/census-citizenship-question-fact-check-white-house-citizen-question-removed/#citizen-question,Fact check: Trump's White House stretches truth on Census changes; AP finds,No citizenship question since 1950,en,CBS News,cbsnews.com,2018-03-29T00:00:00Z,Asking people about their citizenship has been in almost every Census in the last 50 years or longer,Sarah Huckabee Sanders,2018-03-28T00:00:00Z,Republican,
14853,https://www.cbsnews.com/news/census-citizenship-question-fact-check-white-house-citizen-question-removed/#voting-rights-act,Fact check: Trump's White House stretches truth on Census changes; AP finds,Indeterminable for many reasons,en,CBS News,cbsnews.com,2018-03-29T00:00:00Z,The government wants to ask about citizenship 'to protect voters; and specifically to help us better comply with the Voting Rights Act.',Sarah Huckabee Sanders,2018-03-28T00:00:00Z,Republican,
14738,https://www.cbsnews.com/news/ap-fact-check-trump-twists-comeys-role-in-clinton-disclosure/#cooperative,Fact-checking Trump's claims on James Comey's role in Clinton disclosure claimed in ABC interview and Trump-Russia investigation claims,Cooperated; but criticized.,en,CBS News,cbsnews.com,2018-04-16T00:00:00Z,I have agreed with the historically cooperative; disciplined approach that we have engaged in with Robert Mueller,Donald Trump,2018-04-10T00:00:00Z,Republican,
14936,https://www.cbsnews.com/news/ap-fact-check-trump-twists-comeys-role-in-clinton-disclosure/#democrats,Fact-checking Trump's claims on James Comey's role in Clinton disclosure claimed in ABC interview and Trump-Russia investigation claims,Not true.,en,CBS News,cbsnews.com,2018-04-16T00:00:00Z,Much of the bad blood with Russia is caused by the Fake & Corrupt Russia Investigation; headed up by the all Democrat loyalists; or people that worked for Obama. Mueller is most conflicted of all,Donald Trump,2018-04-11T00:00:00Z,Republican,
14855,https://www.cbsnews.com/news/ap-fact-check-trump-twists-comeys-role-in-clinton-disclosure/#mccabe-lied,Fact-checking Trump's claims on James Comey's role in Clinton disclosure claimed in ABC interview and Trump-Russia investigation claims,McCabe mislead Comey,en,CBS News,cbsnews.com,2018-04-16T00:00:00Z,He LIED! LIED! LIED! McCabe was totally controlled by Comey - McCabe is Comey!,Donald Trump,2018-04-13T00:00:00Z,Republican,
14910,https://www.cbsnews.com/news/ap-fact-check-trump-twists-comeys-role-in-clinton-disclosure/#comey-job,Fact-checking Trump's claims on James Comey's role in Clinton disclosure claimed in ABC interview and Trump-Russia investigation claims,Improbable; bad logic.,en,CBS News,cbsnews.com,2018-04-16T00:00:00Z,He was making decisions based on the fact that he thought she was going to win; and he wanted a job.,Donald Trump,2018-04-14T00:00:00Z,Republican,
14774,https://www.cbsnews.com/news/1500-missing-immigrant-children-federal-government-fact-check-2018-05-29/,Did the federal government really lose track of almost 1;500 immigrant children?,True; with a caveat,en,CBS News,cbsnews.com,2018-05-29T00:00:00Z,The federal government has lost track of nearly 1;500 immigrant children,Steven Wagner,2018-04-26T00:00:00Z,unknown_affiliation,bp
14922,https://www.cbsnews.com/news/trump-border-missing-lost-immigration-children-fact-check/,Trump and his critics on 'lost' immigration children — AP fact check,He is correct on misrepresentation,en,CBS News,cbsnews.com,2018-06-04T00:00:00Z,Democrats mistakenly tweet 2014 pictures from Obama's term showing children from the Border in steel cages. They thought it was recent pictures in order to make us look bad; but backfires,Donald Trump,2018-05-29T00:00:00Z,Republican,
14793,https://www.cbsnews.com/news/trump-economy-jobs-best-ever-tweet-today-fact-check-2018-06-04/,Fact check: Is Trump right that it’s the 'best economy & jobs EVER'?,Not true,en,CBS News,cbsnews.com,2018-06-04T00:00:00Z,Jobs and the economy are the strongest ever,Donald Trump,2018-06-04T00:00:00Z,Republican,
14819,https://www.cbsnews.com/news/trump-muhammadi-ali-pardon-consideration-today-does-boxer-need-one/,Trump: Muhammad Ali pardon may be coming – does the boxer need one?,No. SCOTUS ruled in his favor,en,CBS News,cbsnews.com,2018-06-08T00:00:00Z,Does Muhammad Ali need a presidential pardon,Donald Trump,2018-06-08T00:00:00Z,Republican,
